Language	Concept	Form	Tokens	SimpleCognate	PartialCognate	Morphemes	Notes	Portuguese	Semantic	Concepticon	Eol
Karitiana	EARTH / LAND	ejepi	e j e p i	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Arikem	EARTH / LAND	eja	e j a	729.0	5131	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Xipaya	EARTH / LAND	ipɨa	i p ɨa	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Juruna_Yudja	EARTH / LAND	epɨá	e p ɨá/ɨa	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Munduruku	EARTH / LAND	pi	p i	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Kuruaya	EARTH / LAND	ipi	i p i	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Satere_Mawe	EARTH / LAND	ɨi	ɨi	732.0	5135	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Aweti	EARTH / LAND	ɨβete	ɨ β e t e	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Parakana	EARTH / LAND	ɨβɨ	ɨ β ɨ	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Asurini_do_Tocantins	EARTH / LAND	ʔɨwɨ	ʔ ɨ w ɨ	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Surui_Aikewara	EARTH / LAND	ɨwɨ	ɨ w ɨ	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Tapirape_Apyawa	EARTH / LAND	ɨwɨ	ɨ w ɨ	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Tembe	EARTH / LAND	ɨwɨ	ɨ w ɨ	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Guajajara	EARTH / LAND	ɨwɨ	ɨ w ɨ	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Apiaka	EARTH / LAND	ɨwɨ	ɨ w ɨ	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Parintintin	EARTH / LAND	ɨβɨ	ɨ β ɨ	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Amondawa	EARTH / LAND	ɨβɨ	ɨ β ɨ	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Tenharim	EARTH / LAND	ɨβɨ	ɨ β ɨ	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Urueuwauwau	EARTH / LAND	ɨβɨ	ɨ β ɨ	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Tupi_do_Machado_Wirafed	EARTH / LAND	hɨbɨ	h ɨ b ɨ	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Kayabi	EARTH / LAND	ɨwɨ	ɨ w ɨ	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Arawete	EARTH / LAND	iwi	i w i	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Anambe_of_Ehrenreich	EARTH / LAND	iwiti	i w i t i	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Guaja	EARTH / LAND	wɨ	w ɨ	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Amanaye	EARTH / LAND	ɨwɨ	ɨ w ɨ	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Emerillon_Teko	EARTH / LAND	ɨwɨ	ɨ w ɨ	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Wayampi	EARTH / LAND	ɨwɨ	ɨ w ɨ	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Ka_apor_Urubu	EARTH / LAND	ɨwɨ	ɨ w ɨ	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Anambe	EARTH / LAND	ɨwɨ	ɨ w ɨ	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Turiwara	EARTH / LAND	ɨwɨ	ɨ w ɨ	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Kamajura	EARTH / LAND	ɨwɨ	ɨ w ɨ	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Asurini_do_Xingu	EARTH / LAND	ɨwɨ	ɨ w ɨ	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Ava_Canoeiro	EARTH / LAND	ɨwɨ	ɨ w ɨ	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Tupinamba	EARTH / LAND	ɨbɨ	ɨ b ɨ	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Nheengatu	EARTH / LAND	ɨbɨ	ɨ b ɨ	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Lingua_Geral_Paulista_Tupi_austral	EARTH / LAND	uvu	u v u	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Yuki	EARTH / LAND	iβi	i β i	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Guarayo	EARTH / LAND	ɨβɨ	ɨ β ɨ	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Siriono	EARTH / LAND	iβi	i β i	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Warazu_Pauserna	EARTH / LAND	iwi	i w i	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Chiriguano	EARTH / LAND	ɨβɨ	ɨ β ɨ	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Mbya	EARTH / LAND	ɨβɨ	ɨ β ɨ	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Guarani_Paraguay	EARTH / LAND	ɨbɨ	ɨ b ɨ	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Old_Guarani	EARTH / LAND	ɨwɨ	ɨ w ɨ	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Guayaki_Ache	EARTH / LAND	ɨwɨ	ɨ w ɨ	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Xeta	EARTH / LAND	ewua	e w ua	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Kaiowa	EARTH / LAND	ɨwɨ	ɨ w ɨ	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Tapiete	EARTH / LAND	ɨwɨ	ɨ w ɨ	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Apapokuva_of_Nimuendaju	EARTH / LAND	ɨvɨ	ɨ v ɨ	728.0	5132	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Omagua	EARTH / LAND	tujuka	t u j u k a	731.0	5133	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Cocama_Cocamilla	EARTH / LAND	tujuka	t u j u k a	731.0	5133	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Kampe	EARTH / LAND	kɨbakãj	k ɨ b a k ã j	729.0	5131	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Matanau	EARTH / LAND	goin	g oi n	729.0	5131	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Kabanae	EARTH / LAND	goin	g oi n	729.0	5131	EARTH		TERRA / PAÍS	PHYSICAL_WORLD	3603	
Karo_Arara	EAR	opirisap	o p i r i s a p	1560.0	176	EAR		ORELHA	BODY	1247	
Purubora	EAR	ʃapeto	ʃ a p e t o	720.0	5066	EAR		ORELHA	BODY	1247	
Ntogapid_Itogapuk	EAR	nakiriβe	n a k i r i β e	720.0	5067	EAR		ORELHA	BODY	1247	
Ramarama	EAR	nakirabe	n a k i r a b e	720.0	5067	EAR		ORELHA	BODY	1247	
Makurap	EAR	apitʃep	a p i tʃ e p	720.0	5066	EAR		ORELHA	BODY	1247	
Wayoro	EAR	apitep	a p i t e p	720.0	5066	EAR		ORELHA	BODY	1247	
Tupari	EAR	apsiripʔa	a p s i r i p ʔ a	720.0	5066	EAR		ORELHA	BODY	1247	
Akuntsu	EAR	apitep	a p i t e p	720.0	5066	EAR		ORELHA	BODY	1247	
Mekens_Sakurabiat	EAR	apitep	a p i t e p	720.0	5066	EAR		ORELHA	BODY	1247	
Cinta_Larga	EAR	nepiap	n e p ia p	720.0	5067	EAR		ORELHA	BODY	1247	
Gaviao_Ikoloehj	EAR	nepiap	n e p ia p	720.0	5067	EAR		ORELHA	BODY	1247	
Monde	EAR	nepiab	n e p ia b	720.0	5067	EAR		ORELHA	BODY	1247	
Arua	EAR	nepiʔap	n e p i ʔ a p	720.0	5067	EAR		ORELHA	BODY	1247	
Aruashi	EAR	jakɨb	j a k ɨ b	722.0	5069	EAR		ORELHA	BODY	1247	
Matanau	EAR	ntébipé	n t é b i p é	720.0	5067	EAR		ORELHA	BODY	1247	
Zoro	EAR	nepiap	n e p ia p	720.0	5067	EAR		ORELHA	BODY	1247	
Surui_Paiter	EAR	nepibe	n e p i b e	720.0	5067	EAR		ORELHA	BODY	1247	
Karitiana	EAR	opirisap	o p i r i s a p	1560.0	176	EAR		ORELHA	BODY	1247	
Arikem	EAR	apitʃep	a p i tʃ e p	720.0	5066	EAR		ORELHA	BODY	1247	
Xipaya	EAR	jãʃuka	j ã ʃ u k a	722.0	5069	EAR		ORELHA	BODY	1247	
Munduruku	EAR	ŋəibə	ŋ əi b ə	720.0	5067	EAR		ORELHA	BODY	1247	
Kuruaya	EAR	jaõpi	j aõ p i	720.0	5067	EAR		ORELHA	BODY	1247	
Satere_Mawe	EAR	aihape	ai h a p e	720.0	5071 5067	_ear EAR		ORELHA	BODY	1247	
Aweti	EAR	jãpi	j ã p i	720.0	5067	EAR		ORELHA	BODY	1247	
Parakana	EAR	nami	n a m i	720.0	5067	EAR		ORELHA	BODY	1247	
Surui_Aikewara	EAR	namia	n a m ia	720.0	5067	EAR		ORELHA	BODY	1247	
Tapirape_Apyawa	EAR	nami	n a m i	720.0	5067	EAR		ORELHA	BODY	1247	
Tembe	EAR	nami	n a m i	720.0	5067	EAR		ORELHA	BODY	1247	
Guajajara	EAR	nami	n a m i	720.0	5067	EAR		ORELHA	BODY	1247	
Apiaka	EAR	nambija	n a mb/ⁿb i j a	720.0	5067	EAR		ORELHA	BODY	1247	
Parintintin	EAR	nambi	n a mb i	720.0	5067	EAR		ORELHA	BODY	1247	
Juma	EAR	nãmi	n ã m i	720.0	5067	EAR		ORELHA	BODY	1247	
Tupi_do_Machado_Wirafed	EAR	namí	n a m í/i	720.0	5067	EAR		ORELHA	BODY	1247	
Arawete	EAR	amɨ	a m ɨ	720.0	5067	EAR		ORELHA	BODY	1247	
Anambe_of_Ehrenreich	EAR	henambĩ	h e n a mb/ⁿb ĩ	720.0	5068 5067	_ear EAR		ORELHA	BODY	1247	
Amanaye	EAR	nami	n a m i	720.0	5067	EAR		ORELHA	BODY	1247	
Emerillon_Teko	EAR	nami	n a m i	720.0	5067	EAR		ORELHA	BODY	1247	
Wayampi	EAR	apɨakʷa	a p ɨa kʷ a	720.0	5067 5073	EAR _ear		ORELHA	BODY	1247	
Wayampi	EAR	nami	n a m i	720.0	5067	EAR		ORELHA	BODY	1247	
Zo_e	EAR	nami	n a m i	720.0	5067	EAR		ORELHA	BODY	1247	
Ka_apor_Urubu	EAR	inambi	i n a mb/ⁿb i	720.0	5071 5067	_ear EAR		ORELHA	BODY	1247	
Anambe	EAR	namɨ	n a m ɨ	720.0	5067	EAR		ORELHA	BODY	1247	
Kamajura	EAR	nami	n a m i	720.0	5067	EAR		ORELHA	BODY	1247	
Tupinamba	EAR	nambi	n a mb/ⁿb i	720.0	5067	EAR		ORELHA	BODY	1247	
Nheengatu	EAR	nambi	n a mb/ⁿb i	720.0	5067	EAR		ORELHA	BODY	1247	
Lingua_Geral_Paulista_Tupi_austral	EAR	nambi	n a mb/ⁿb i	720.0	5067	EAR		ORELHA	BODY	1247	
Yuki	EAR	isa	i s a	724.0	5072	EAR		ORELHA	BODY	1247	
Guarayo	EAR	nambi	n a mb/ⁿb i	720.0	5067	EAR		ORELHA	BODY	1247	
Siriono	EAR	eisa	ei s a	724.0	5072	EAR		ORELHA	BODY	1247	
Chiriguano	EAR	nambi	n a mb/ⁿb i	720.0	5067	EAR		ORELHA	BODY	1247	
Mbya	EAR	nambi	n a mb/ⁿb i	720.0	5067	EAR		ORELHA	BODY	1247	
Guarani_Paraguay	EAR	nambi	n a mb/ⁿb i	720.0	5067	EAR		ORELHA	BODY	1247	
Old_Guarani	EAR	nambi	n a mb/ⁿb i	720.0	5067	EAR		ORELHA	BODY	1247	
Guayaki_Ache	EAR	nabi	n a b i	720.0	5067	EAR		ORELHA	BODY	1247	
Xeta	EAR	nami	n a m i	720.0	5067	EAR		ORELHA	BODY	1247	
Tapiete	EAR	tɨnambi	t ɨ n a mb/ⁿb i	720.0	5067	EAR		ORELHA	BODY	1247	
Chiripa_Nandeva_Ava_Guarani	EAR	nambi	n a mb/ⁿb i	720.0	5067	EAR		ORELHA	BODY	1247	
Omagua	EAR	nami	n a m i	720.0	5067	EAR		ORELHA	BODY	1247	
Cocama_Cocamilla	EAR	nami	n a m i	720.0	5067	EAR		ORELHA	BODY	1247	
Amondawa	EAR	nãbia	n ã b ia	720.0	5067	EAR		ORELHA	BODY	1247	
Arikem	EAR	risaba	r i s a b a	1560.0	176	EAR		ORELHA	BODY	1247	
Asurini_do_Tocantins	EAR	nami	n a m i	720.0	5067	EAR		ORELHA	BODY	1247	
Kepkiriwat	EAR	apiá	a p iá			EAR		ORELHA	BODY	1247	
Guaja	EAR	namĩa	n a m ĩa			EAR		ORELHA	BODY	1247	
Karo_Arara	EAT (intr.)	nok	n o k	739.0	5205	EAT		COMER	FOOD_AND_DRINK	1336	
Makurap	EAT (intr.)	kãnãʔ	k ã n ã ʔ +	734.0	5199	EAT		COMER	FOOD_AND_DRINK	1336	
Wayoro	EAT (intr.)	ko	k o	734.0	5199	EAT		COMER	FOOD_AND_DRINK	1336	
Akuntsu	EAT (intr.)	ko	k o	734.0	5199	EAT		COMER	FOOD_AND_DRINK	1336	
Mekens_Sakurabiat	EAT (intr.)	kaa	k aː	734.0	5199	EAT		COMER	FOOD_AND_DRINK	1336	
Monde	EAT (intr.)	a	a	737.0	5202	EAT		COMER	FOOD_AND_DRINK	1336	
Karitiana	EAT (intr.)	pɨtʔɨ	p ɨ t + ʔ ɨ	735.0	151 5200	ASSERTIVE EAT	intr.	COMER	FOOD_AND_DRINK	1336	
Xipaya	EAT (intr.)	etúku	e t ú/u k u	740.0	5204	EAT		COMER	FOOD_AND_DRINK	1336	
Juruna_Yudja	EAT (intr.)	etʃúkú	e tʃ ú/u k ú/u	740.0	5204	EAT		COMER	FOOD_AND_DRINK	1336	
Munduruku	EAT (intr.)	kõn	k õ n	734.0	5199	EAT		COMER	FOOD_AND_DRINK	1336	
Kuruaya	EAT (intr.)	kõn	k õ n	734.0	5199	EAT		COMER	FOOD_AND_DRINK	1336	
Aweti	EAT (intr.)	ʔu	ʔ u	735.0	5200	EAT		COMER	FOOD_AND_DRINK	1336	
Surui_Aikewara	EAT (intr.)	karu	k a r + u	734.0	5199 12	_THING -INGEST		COMER	FOOD_AND_DRINK	1336	
Tapirape_Apyawa	EAT (intr.)	kãro	k ã r + o	734.0	5199 12	_THING -INGEST		COMER	FOOD_AND_DRINK	1336	
Arawete	EAT (intr.)	karu	k a r + u	734.0	5199 12	_THING -INGEST		COMER	FOOD_AND_DRINK	1336	
Emerillon_Teko	EAT (intr.)	wa	w a	736.0	5201	EAT		COMER	FOOD_AND_DRINK	1336	
Wayampi	EAT (intr.)	u	u	737.0	5202	EAT		COMER	FOOD_AND_DRINK	1336	
Zo_e	EAT (intr.)	ʔu	ʔ u	735.0	5200	EAT		COMER	FOOD_AND_DRINK	1336	
Anambe	EAT (intr.)	karu	k a r + u	734.0	5199 12	_THING -INGEST		COMER	FOOD_AND_DRINK	1336	
Asurini_do_Xingu	EAT (intr.)	karo	k a r + o	734.0	5199 12	_THING -INGEST		COMER	FOOD_AND_DRINK	1336	
Tupinamba	EAT (intr.)	karu	k a r + u	734.0	5199 12	_THING -INGEST		COMER	FOOD_AND_DRINK	1336	
Siriono	EAT (intr.)	karu	k a r + u	734.0	5199 12	_THING -INGEST		COMER	FOOD_AND_DRINK	1336	
Mbya	EAT (intr.)	karu	k a r + u	734.0	5199 12	_THING -INGEST		COMER	FOOD_AND_DRINK	1336	
Guarani_Paraguay	EAT (intr.)	karu	k a r + u	734.0	5199 12	_THING -INGEST		COMER	FOOD_AND_DRINK	1336	
Old_Guarani	EAT (intr.)	karu	k a r + u	734.0	5199 12	_THING -INGEST		COMER	FOOD_AND_DRINK	1336	
Xeta	EAT (intr.)	karu	k a r + u	734.0	5199 12	_THING -INGEST		COMER	FOOD_AND_DRINK	1336	
Tapiete	EAT (intr.)	karu	k a r + u	734.0	5199 12	_THING -INGEST		COMER	FOOD_AND_DRINK	1336	
Cocama_Cocamilla	EAT (intr.)	eju	e j u	738.0	5203	EAT		COMER	FOOD_AND_DRINK	1336	
Nheengatu	EAT (intr.)	mbaú	mb a ú	1239.0	134 12	_THING -INGEST		COMER	FOOD_AND_DRINK	1336	
Arikem	EAT (intr.)	pudʒu	p u dʒ u	735.0	151 181 5200	ASSERTIVE EAT		COMER	FOOD_AND_DRINK	1336	
Asurini_do_Tocantins	EAT (intr.)	karó	k a r + ó	734.0	5199 12	_THING -INGEST		COMER	FOOD_AND_DRINK	1336	
Guaja	EAT (intr.)	ʔu	ʔ u	735.0	5200	EAT		COMER	FOOD_AND_DRINK	1336	
Gaviao_Ikoloehj	EAT (intr.)	neβa	n e + β a	736.0	597 5201	? INGEST		COMER	FOOD_AND_DRINK	1336	
Cinta_Larga	EAT (intr.)	wa	w a	736.0	5201	EAT		COMER	FOOD_AND_DRINK	1336	
Karo_Arara	EAT (tr.)	kam	k a m	734.0	5199	INGEST		COMER	FOOD_AND_DRINK	1336	
Purubora	EAT (tr.)	ʔo	ʔ o	735.0	5200	INGEST		COMER	FOOD_AND_DRINK	1336	
Ramarama	EAT (tr.)	doga	d o g a	739.0	5205	EAT		COMER	FOOD_AND_DRINK	1336	
Makurap	EAT (tr.)	oẽn	oẽ n	734.0	5199	INGEST		COMER	FOOD_AND_DRINK	1336	
Wayoro	EAT (tr.)	ko	k o	734.0	5199	EAT		COMER	FOOD_AND_DRINK	1336	
Tupari	EAT (tr.)	ka	k a	734.0	5199	EAT		COMER	FOOD_AND_DRINK	1336	
Tupari	EAT (tr.)	ko	k o	734.0	5199	EAT		COMER	FOOD_AND_DRINK	1336	
Tupari	EAT (tr.)	arop	a r o p	734.0	5199	EAT		COMER	FOOD_AND_DRINK	1336	
Akuntsu	EAT (tr.)	ko	k o	734.0	5199	EAT		COMER	FOOD_AND_DRINK	1336	
Mekens_Sakurabiat	EAT (tr.)	ko	k o	734.0	5199	INGEST		COMER	FOOD_AND_DRINK	1336	
Cinta_Larga	EAT (tr.)	va	v a	736.0	5201	EAT		COMER	FOOD_AND_DRINK	1336	
Gaviao_Ikoloehj	EAT (tr.)	βa	β a	736.0	5201	EAT		COMER	FOOD_AND_DRINK	1336	
Monde	EAT (tr.)	uít	uí t	741.0	5207	INGEST		COMER	FOOD_AND_DRINK	1336	
Arua	EAT (tr.)	βa	β a	736.0	5201	EAT		COMER	FOOD_AND_DRINK	1336	
Zoro	EAT (tr.)	βa	β a	736.0	5201	EAT		COMER	FOOD_AND_DRINK	1336	
Surui_Paiter	EAT (tr.)	iwa	i w a	736.0	5201	EAT		COMER	FOOD_AND_DRINK	1336	
Arikem	EAT (tr.)	kana	k a n a	734.0	5199	EAT		COMER	FOOD_AND_DRINK	1336	
Xipaya	EAT (tr.)	ʃu	ʃ u	735.0	5200	EAT		COMER	FOOD_AND_DRINK	1336	
Juruna_Yudja	EAT (tr.)	iʃú	i ʃ ú	735.0	5200	EAT		COMER	FOOD_AND_DRINK	1336	
Munduruku	EAT (tr.)	ʔóm	ʔ ó m	735.0	5200	INGEST		COMER	FOOD_AND_DRINK	1336	
Kuruaya	EAT (tr.)	ʔó	ʔ ó	735.0	5200	INGEST		COMER	FOOD_AND_DRINK	1336	
Satere_Mawe	EAT (tr.)	at-uʔu	a t + u ʔ u	735.0	5207 5200	? EAT		COMER	FOOD_AND_DRINK	1336	
Satere_Mawe	EAT (tr.)	nuk	n u k	739.0	5205	EAT		COMER	FOOD_AND_DRINK	1336	
Aweti	EAT (tr.)	ʔu	ʔ u	735.0	5200	EAT		COMER	FOOD_AND_DRINK	1336	
Parakana	EAT (tr.)	karo	k a r + o	734.0	5199 12	_THING -INGEST		COMER	FOOD_AND_DRINK	1336	
Parakana	EAT (tr.)	ʔo	ʔ o	735.0	5200	INGEST		COMER	FOOD_AND_DRINK	1336	
Asurini_do_Tocantins	EAT (tr.)	ʔo	ʔ o	735.0	5200	EAT		COMER	FOOD_AND_DRINK	1336	
Surui_Aikewara	EAT (tr.)	ʔu	ʔ u	735.0	5200	EAT		COMER	FOOD_AND_DRINK	1336	
Tapirape_Apyawa	EAT (tr.)	ʔo	ʔ o	735.0	5200	EAT		COMER	FOOD_AND_DRINK	1336	
Tembe	EAT (tr.)	ʔu	ʔ u	735.0	5200	EAT		COMER	FOOD_AND_DRINK	1336	
Guajajara	EAT (tr.)	ʔu	ʔ u	735.0	5200	EAT		COMER	FOOD_AND_DRINK	1336	
Apiaka	EAT (tr.)	ʔu	ʔ u	735.0	5200	EAT		COMER	FOOD_AND_DRINK	1336	
Amondawa	EAT (tr.)	ʔu	ʔ u	735.0	5200	EAT		COMER	FOOD_AND_DRINK	1336	
Tenharim	EAT (tr.)	ʔu	ʔ u	735.0	5200	EAT		COMER	FOOD_AND_DRINK	1336	
Juma	EAT (tr.)	ʔu	ʔ u	735.0	5200	EAT		COMER	FOOD_AND_DRINK	1336	
Urueuwauwau	EAT (tr.)	ʔu	ʔ u	735.0	5200	EAT		COMER	FOOD_AND_DRINK	1336	
Tupi_do_Machado_Wirafed	EAT (tr.)	u	u	737.0	5202	EAT		COMER	FOOD_AND_DRINK	1336	
Kayabi	EAT (tr.)	jemiʔwat	j e m i ʔ w a t	742.0	5206	INGEST		COMER	FOOD_AND_DRINK	1336	
Arawete	EAT (tr.)	ʔu	ʔ u	735.0	5200	EAT		COMER	FOOD_AND_DRINK	1336	
Anambe_of_Ehrenreich	EAT (tr.)	karu	k a r + u	734.0	5199 12	_THING -INGEST		COMER	FOOD_AND_DRINK	1336	
Emerillon_Teko	EAT (tr.)	ʔu	ʔ u	735.0	5200	EAT		COMER	FOOD_AND_DRINK	1336	
Wayampi	EAT (tr.)	ʔu	ʔ u	735.0	5200	EAT		COMER	FOOD_AND_DRINK	1336	
Ka_apor_Urubu	EAT (tr.)	ʔu	ʔ u	735.0	5200	EAT		COMER	FOOD_AND_DRINK	1336	
Anambe	EAT (tr.)	ʔu	ʔ u	735.0	5200	EAT		COMER	FOOD_AND_DRINK	1336	
Turiwara	EAT (tr.)	mbaeú	mb ae ú	735.0	633 5200	_THING -INGEST		COMER	FOOD_AND_DRINK	1336	
Kamajura	EAT (tr.)	karu	k a r + u	734.0	5199 12	_THING -INGEST		COMER	FOOD_AND_DRINK	1336	
Asurini_do_Xingu	EAT (tr.)	ʔu	ʔ u	735.0	5200	EAT		COMER	FOOD_AND_DRINK	1336	
Ava_Canoeiro	EAT (tr.)	u	u	737.0	5202	EAT		COMER	FOOD_AND_DRINK	1336	
Tupinamba	EAT (tr.)	uʔ	u ʔ	735.0	5200	EAT		COMER	FOOD_AND_DRINK	1336	
Nheengatu	EAT (tr.)	mbaú	mb a ú	737.0	633 5200	_THING -INGEST		COMER	FOOD_AND_DRINK	1336	
Lingua_Geral_Paulista_Tupi_austral	EAT (tr.)	karu	k a r + u	734.0	5199 12	_THING -INGEST		COMER	FOOD_AND_DRINK	1336	
Yuki	EAT (tr.)	kjaru	k j a r + u	734.0	5199 12	_THING -INGEST		COMER	FOOD_AND_DRINK	1336	
Guarayo	EAT (tr.)	karu	k a r + u	1622.0	203 216	_THING -INGEST		COMER	FOOD_AND_DRINK	1336	
Siriono	EAT (tr.)	ʃu	ʃ u	735.0	216	EAT		COMER	FOOD_AND_DRINK	1336	
Warazu_Pauserna	EAT (tr.)	kjaru	k j a r + u	1622.0	203 216	_THING -INGEST		COMER	FOOD_AND_DRINK	1336	
Chiriguano	EAT (tr.)	karu	k a r + u	1622.0	203 216	_THING -INGEST		COMER	FOOD_AND_DRINK	1336	
Mbya	EAT (tr.)	ʔu	ʔ u	735.0	216	INGEST		COMER	FOOD_AND_DRINK	1336	
Guarani_Paraguay	EAT (tr.)	ʔu	ʔ u	735.0	216	EAT		COMER	FOOD_AND_DRINK	1336	
Old_Guarani	EAT (tr.)	karu	k a r + u	1622.0	203 216	_THING -INGEST		COMER	FOOD_AND_DRINK	1336	
Guayaki_Ache	EAT (tr.)	uʔu	u ʔ u	735.0	216	EAT		COMER	FOOD_AND_DRINK	1336	
Xeta	EAT (tr.)	tejona	t e j o n a	738.0	5203	EAT		COMER	FOOD_AND_DRINK	1336	
Kaiowa	EAT (tr.)	karu	k a r + u	1622.0	203 216	_THING -INGEST		COMER	FOOD_AND_DRINK	1336	
Tapiete	EAT (tr.)	karu	k a r + u	1622.0	203 216	_THING -INGEST		COMER	FOOD_AND_DRINK	1336	
Omagua	EAT (tr.)	iu	iu	737.0	5202	INGEST		COMER	FOOD_AND_DRINK	1336	
Omagua	EAT (tr.)	ɨu	ɨu	737.0	5202	INGEST		COMER	FOOD_AND_DRINK	1336	
Cocama_Cocamilla	EAT (tr.)	eju	e j u	738.0	5203	EAT		COMER	FOOD_AND_DRINK	1336	
Karitiana	EAT (tr.)	ʔɨ	ʔ ɨ	735.0		INGEST		COMER	FOOD_AND_DRINK	1336	
Ntogapid_Itogapuk	EAT (tr.)	noga	n o g a	739.0	5205	INGEST		COMER	FOOD_AND_DRINK	1336	
Parintintin	EAT (tr.)	ʔu	ʔ u	735.0	5200	INGEST		COMER	FOOD_AND_DRINK	1336	
Zo_e	EAT (tr.)	ʔu	ʔ u	735.0	5200	INGEST		COMER	FOOD_AND_DRINK	1336	
Karo_Arara	EGG	joga	j o g a	744.0	5299	EGG		OVO	FOOD_AND_DRINK	744	
Purubora	EGG	akap	a k a p	744.0	5299	EGG		OVO	FOOD_AND_DRINK	744	
Makurap	EGG	tʃopia	tʃ o p ia	743.0	5298	EGG		OVO	FOOD_AND_DRINK	744	
Wayoro	EGG	ɨpia	ɨ p ia	743.0	5298	EGG		OVO	FOOD_AND_DRINK	744	
Tupari	EGG	opsiʔa	o p s i ʔ a	743.0	5298	EGG		OVO	FOOD_AND_DRINK	744	
Akuntsu	EGG	õpita	õ p i t a	743.0	5298	EGG		OVO	FOOD_AND_DRINK	744	
Mekens_Sakurabiat	EGG	upitsa	u p i ts a	743.0	5298	EGG		OVO	FOOD_AND_DRINK	744	
Mekens_Sakurabiat	EGG	supia	s u p ia	743.0	5298	EGG		OVO	FOOD_AND_DRINK	744	
Gaviao_Ikoloehj	EGG	makáp	m a k á p	744.0	5299	EGG		OVO	FOOD_AND_DRINK	744	
