ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	ALIGNMENT	COGID	COGIDS	MORPHEMES	COGNACY	NOTE
7968	Tembe	CRAB	 (warar)uha	uha	u h a	- u - - h a -	565	3950	CRAB	carangueijo1	
8299	Guajajara	CRAB	waruha	waruha	w a r u h a	w a r u h - a - -	564	3946	CRAB	carangueijo1	
8892	Parintintin	CRAB	gʷararu	gʷararu	gʷ a r a r u	gʷ a r a r - u - -	564	3946	CRAB	carangueijo1	
9546	Tenharim	CRAB	gʷararu	gʷararu	gʷ a r a r u	gʷ a r a r - u - -	564	3946	CRAB	carangueijo1	
9831	Jiahoi	CRAB	gʷararu	gʷararu	gʷ a r a r u	gʷ a r a r - u - -	564	3946	CRAB	carangueijo1	
11319	Emerillon_Teko	CRAB	tɨpoko	tɨpoko	t ɨ p o k o	t ɨ p o k o	568	3949	CRAB	carangueijo	
11708	Wayampi	CRAB	uwa	uwa	u w a	u w a	567	3947	CRAB	carangueijo1	
12324	Ka_apor_Urubu	CRAB	tame	tame	t a m e	t a m - - e -	566	3948	CRAB	carangueijo	
12907	Kamajura	CRAB	wararuʔa	wararuʔa	w a r a r u ʔ a	w a r a r - u ʔ a	564	3946	CRAB	carangueijo1	
13178	Asurini_do_Xingu	CRAB	uʔã	uʔã	u ʔ ã	u ʔ ã	567	3947	CRAB	carangueijo1	
13695	Tupinamba	CRAB	usá / gwaɲumĩ / aratu	usá	u s á/a	- u - - s á/a -	565	3950	CRAB	carangueijo	
13696	Tupinamba	CRAB	usá / gwaɲumĩ / aratu	gwaɲumĩ	gw a ɲ u m ĩ	gw a - - ɲ - u m ĩ	564	3946	CRAB	carangueijo	
13697	Tupinamba	CRAB	usá / gwaɲumĩ / aratu	aratu	a r a t u	- a r a t - u - -	564	3946	CRAB	carangueijo	
14085	Nheengatu	CRAB	usá	usá	u s á	- u - - s á -	565	3950	CRAB	carangueijo	
14417	Lingua_Geral_Paulista_Tupi_austral	CRAB	usá / gʷajá / aratu	usá	u s á/a	- u - - s á/a -	565	3950	CRAB	carangueijo	
14418	Lingua_Geral_Paulista_Tupi_austral	CRAB	usá / gʷajá / aratu	gʷajá	gʷ a j á/a	gʷ a j á/a - - - - -	564	3946	CRAB	carangueijo	
14419	Lingua_Geral_Paulista_Tupi_austral	CRAB	usá / gʷajá / aratu	aratu	a r a t u	- a r a t - u - -	564	3946	CRAB	carangueijo	
15249	Siriono	CRAB	ɨsa	ɨsa	ɨ s a	- ɨ - - s a -	565	3950	CRAB	carangueijo	
16206	Mbya	CRAB	itakaru	itakaru	i t a k a r u	- i t a - k a r u	1610	197	CRAB	carangueijo	
16559	Guarani_Paraguay	CRAB	gʷajamu	gʷajamu	gʷ a j a m u	gʷ a j a m - u - -	564	3946	CRAB	carangueijo	
16900	Old_Guarani	CRAB	japeusá	japeusá	j a p eu s á	j a p eu s á -	565	3950	CRAB	carangueijo	
18417	Omagua	CRAB	karankiʃu	karankiʃu	k a r a n k i ʃ u	k a r a n k i ʃ u	564	3946	CRAB	carangueijo	
19358	Asurini_do_Tocantins	CRAB	oá	oá	o a	o a	567	3947	CRAB		
20587	Guaja	CRAB	warara	warara	w a r a r a	w a r a r a	564	3946	CRAB		
77	Karo_Arara	CRICKET (zool)	kɨrɨʔkãj	kɨrɨʔkãj	k ɨ r ɨ ʔ k ã j	- k ɨ r ɨ ʔ - - k ã j	571	3991	CRICKET	grilo	
879	Makurap	CRICKET (zool)	ŋgara	ŋgara	ŋg/ⁿg a r a	- ŋg/ⁿg a r a - - - - - -	571	3991	CRICKET	grilo	
1226	Wayoro	CRICKET (zool)	apĩn	apĩn	a p ĩ n	- a p ĩ n	573	3993	CRICKET	grilo	
1562	Tupari	CRICKET (zool)	karãj	karãj	k a r ã j	- k a r ã j - - - - -	571	3991	CRICKET	grilo	
1948	Akuntsu	CRICKET (zool)	jõnebo	jõnebo	j õ n e b o	j õ n e b o	574	3990	CRICKET	grilo	
2317	Mekens_Sakurabiat	CRICKET (zool)	toroɨ	toroɨ	t o r oɨ	t o - - r oɨ	572	3992	CRICKET	grilo	
2790	Gaviao_Ikoloehj	CRICKET (zool)	kadʒígɨ	kadʒígɨ	k a dʒ í g ɨ	- k a dʒ í - - - g ɨ -	571	3991	CRICKET	grilo	
3962	Surui_Paiter	CRICKET (zool)	kabiʃoorkãj	kabiʃoorkãj	k a b i ʃ oː r k ã j	- k a b i ʃ oː r k ã j	571	3991	CRICKET	grilo	
4284	Karitiana	CRICKET (zool)	pasẽn	pasẽn	p a s ẽ n	p a s ẽ n	573	3993	CRICKET	grilo	
4755	Xipaya	CRICKET (zool)	kɨpa	kɨpa	k ɨ p a	- k ɨ p a - - - - - -	571	3991	CRICKET	grilo	
5088	Juruna_Yudja	CRICKET (zool)	kɨpá	kɨpá	k ɨ p á/a	- k ɨ p á/a - - - - - -	571	3991	CRICKET	grilo	
5435	Munduruku	CRICKET (zool)	aŋəpatʃopatʃo	aŋəpatʃopatʃo	a ŋ ə p a tʃ o p a tʃ o	a ŋ ə p a tʃ o p a tʃ o	575	3994	CRICKET	grilo	
6114	Satere_Mawe	CRICKET (zool)	pohit / ukiʔu	pohit	p o h i t	p o h i t	573	3993	CRICKET	grilo	
6115	Satere_Mawe	CRICKET (zool)	pohit / ukiʔu	ukiʔu	u k i ʔ u	u k i ʔ u - - - - - -	571	3991	CRICKET	grilo	
6468	Aweti	CRICKET (zool)	ekɨjʔu	ekɨjʔu	e k ɨ j ʔ u	e k ɨ j ʔ - - u - - -	571	3991	CRICKET	grilo	
6783	Parakana	CRICKET (zool)	ɨkɨtʃo	ɨkɨtʃo	ɨ k ɨ tʃ o	ɨ k ɨ tʃ o - - - - - -	571	3991	CRICKET	grilo1	
7362	Surui_Aikewara	CRICKET (zool)	ikɨsuhu	ikɨsuhu	i k ɨ s u h u	i k ɨ s u h - u - - -	571	3991	CRICKET	grilo1	
7969	Tembe	CRICKET (zool)	ikizu	ikizu	i k i z u	i k i z u - - - - - -	571	3991	CRICKET	grilo1	
8300	Guajajara	CRICKET (zool)	ɨkɨzu	ɨkɨzu	ɨ k ɨ z u	ɨ k ɨ z u - - - - - -	571	3991	CRICKET	grilo1	
8623	Apiaka	CRICKET (zool)	kɨsuʔia	kɨsuʔia	k ɨ s u ʔ ia	- k ɨ s u ʔ - ia - - -	571	3991	CRICKET	grilo1	
8893	Parintintin	CRICKET (zool)	kɨuʔi	kɨuʔi	k ɨu ʔ i	- k ɨu ʔ i - - - - - -	571	3991	CRICKET	grilo1	
9232	Amondawa	CRICKET (zool)	kɨuʔi	kɨuʔi	k ɨu ʔ i	- k ɨu ʔ i - - - - - -	571	3991	CRICKET	grilo1	
9547	Tenharim	CRICKET (zool)	kɨuʔi	kɨuʔi	k ɨu ʔ i	- k ɨu ʔ i - - - - - -	571	3991	CRICKET	grilo1	
10344	Kayabi	CRICKET (zool)	kɨʔju	kɨʔju	k ɨ ʔ j u	- k ɨ ʔ j - u - - - -	571	3991	CRICKET	grilo1	
10948	Guaja	CRICKET (zool)	tapuru	tapuru	t a p u r u	t a p u r u	572	3992	CRICKET	grilo	
11320	Emerillon_Teko	CRICKET (zool)	kɨju	kɨju	k ɨ j u	- k ɨ j u - - - - - -	571	3991	CRICKET	grilo1	
11709	Wayampi	CRICKET (zool)	palãlã	palãlã	p a l ã l ã	p a l ã l ã	577	3996	CRICKET	grilo	
12325	Ka_apor_Urubu	CRICKET (zool)	kiju	kiju	k i j u	- k i j u - - - - - -	571	3991	CRICKET	grilo1	
13436	Ava_Canoeiro	CRICKET (zool)	tukur	tukur	t u k u r	t u k u r -	572	3992	CRICKET	grilo	
13698	Tupinamba	CRICKET (zool)	kɨju	kɨju	k ɨ j u	- k ɨ j u - - - - - -	571	3991	CRICKET	grilo1	
14086	Nheengatu	CRICKET (zool)	grilu	grilu	g r i l u	- g r - i - - l - u -	571	3991	CRICKET	grilo	
14932	Guarayo	CRICKET (zool)	kɨju	kɨju	k ɨ j u	- k ɨ j u - - - - - -	571	3991	CRICKET	grilo1	
15250	Siriono	CRICKET (zool)	tikirã	tikirã	t i k i r ã	t i k i r ã	571	3991	CRICKET	grilo	
15554	Warazu_Pauserna	CRICKET (zool)	hawiðure	hawiðure	h a w i ð u r e	h a w i ð u r e	576	3995	CRICKET	grilo	
15806	Chiriguano	CRICKET (zool)	kɨju	kɨju	k ɨ j u	- k ɨ j u - - - - - -	571	3991	CRICKET	grilo1	
16207	Mbya	CRICKET (zool)	kɨdʒu	kɨdʒu	k ɨ dʒ u	- k ɨ dʒ u - - - - - -	571	3991	CRICKET	grilo1	
16560	Guarani_Paraguay	CRICKET (zool)	kɨju	kɨju	k ɨ j u	- k ɨ j u - - - - - -	571	3991	CRICKET	grilo1	
16901	Old_Guarani	CRICKET (zool)	ikɨju	ikɨju	i k ɨ j u	i k ɨ j u - - - - - -	571	3991	CRICKET	grilo1	
17207	Guayaki_Ache	CRICKET (zool)	kɨju	kɨju	k ɨ j u	- k ɨ j u - - - - - -	571	3991	CRICKET	grilo1	
17445	Xeta	CRICKET (zool)	kɨdʒo	kɨdʒo	k ɨ dʒ o	- k ɨ dʒ o - - - - - -	571	3991	CRICKET	grilo1	
17909	Tapiete	CRICKET (zool)	kɨʒo	kɨʒo	k ɨ ʒ o	- k ɨ ʒ o - - - - - -	571	3991	CRICKET	grilo1	
18418	Omagua	CRICKET (zool)	ʃiriri	ʃiriri	ʃ i r i r i	ʃ i r i r i	572	3992	CRICKET	grilo	
18701	Cocama_Cocamilla	CRICKET (zool)	tʃiriri	tʃiriri	tʃ i r i r i	tʃ i r i r i	572	3992	CRICKET	grilo	
19359	Asurini_do_Tocantins	CRICKET (zool)	ɨkɨso	ɨkɨso	ɨ k ɨ s o	ɨ k ɨ s o	571	3991	CRICKET		
78	Karo_Arara	CRY	we	we	w e	- w e - - -	579	4034	CRY	chorar	
423	Purubora	CRY	wepa	wepa	w e p a	- w e p a -	579	4034	CRY	chorar	
1227	Wayoro	CRY	ɨkar / itoaka	ɨkar	ɨ k a r	ɨ - - k a r	579	4034	CRY	chorar	
1228	Wayoro	CRY	ɨkar / itoaka	itoaka	i t oa k a	i t oa k a -	579	4034	CRY	chorar	
1563	Tupari	CRY	wak	wak	w a k	- w a k - -	579	4034	CRY	chorar	
1949	Akuntsu	CRY	kʷakʷa	kʷakʷa	kʷ a kʷ a	- kʷ a kʷ a -	579	4034	CRY	chorar	
2318	Mekens_Sakurabiat	CRY	ɨtkar	ɨtkar	ɨ t k a r	ɨ t - k a r	579	4034	CRY	chorar	
2591	Cinta_Larga	CRY	βaka	βaka	β a k a	- β a k a -	579	4034	CRY	chorar	
2791	Gaviao_Ikoloehj	CRY	βaga	βaga	β a g a	- β a g a -	579	4034	CRY	chorar	
3177	Monde	CRY	βãk	βãk	β ã k	- β ã k - -	579	4034	CRY	chorar	
3963	Surui_Paiter	CRY	waga	waga	w a g a	- w a g a -	579	4034	CRY	chorar	
4285	Karitiana	CRY	hɨrɨp	hɨrɨp	h ɨ r ɨ p	h ɨ r ɨ p	581	4037	CRY	chorar	
4756	Xipaya	CRY	ya	ya	k a	- k a - - -	579	4034	CRY	chorar	
5089	Juruna_Yudja	CRY	ʔeʔa	ʔeʔa	ʔ e ʔ a	- - - ʔ e ʔ a	578	4035	CRY	chorar	
5436	Munduruku	CRY	tõn / wawa	tõn	t õ n	- t õ - n	580	4036	CRY	chorar	
5437	Munduruku	CRY	tõn / wawa	wawa	w a w a	- w a w a -	579	4034	CRY	chorar	
5801	Kuruaya	CRY	tõn	tõn	t õ n	- t õ - n	580	4036	CRY	chorar	
6116	Satere_Mawe	CRY	wak	wak	w a k	- w a k - -	579	4034	CRY	chorar2	
6469	Aweti	CRY	etaʔa	etaʔa	e t a ʔ a	- - e t a ʔ a	578	4035	CRY	chorar1	
6784	Parakana	CRY	tʃaʔa	tʃaʔa	tʃ a ʔ a	- tʃ a ʔ a - -	578	4035	CRY	chorar1	
7105	Asurini_do_Tocantins	CRY	tʃaaʔa	tʃaaʔa	tʃ aː ʔ a	- tʃ aː ʔ a - -	578	4035	CRY	chorar1	
7363	Surui_Aikewara	CRY	soʔo	soʔo	s o ʔ o	- s o ʔ o - -	578	4035	CRY	chorar1	
7683	Tapirape_Apyawa	CRY	tʃajʔa	tʃajʔa	tʃ a j ʔ a	- tʃ a j - ʔ a	578	4035	CRY	chorar1	
7970	Tembe	CRY	zajʔo	zajʔo	z a j ʔ o	- z a j - ʔ o	578	4035	CRY	chorar1	
8301	Guajajara	CRY	zaiʔo	zaiʔo	z ai ʔ o	- z ai ʔ o - -	578	4035	CRY	chorar1	
8624	Apiaka	CRY	sajo	sajo	s a j o	- s a j o - -	578	4035	CRY	chorar1	
8894	Parintintin	CRY	jeheʔo	jeheʔo	j e h e ʔ o	- j e h e ʔ o	578	4035	CRY	chorar1	
9233	Amondawa	CRY	dʒaʔo	dʒaʔo	dʒ a ʔ o	- dʒ a ʔ o - -	578	4035	CRY	chorar1	
9548	Tenharim	CRY	jeheʔo	jeheʔo	j e h e ʔ o	- j e h e ʔ o	578	4035	CRY	chorar1	
9997	Urueuwauwau	CRY	jeheʔo	jeheʔo	j e h e ʔ o	- j e h e ʔ o	578	4035	CRY	chorar1	
10345	Kayabi	CRY	joʔo	joʔo	j o ʔ o	- j o ʔ o - -	578	4035	CRY	chorar1	
10593	Arawete	CRY	jaʔa	jaʔa	j a ʔ a	- j a ʔ a - -	578	4035	CRY	chorar1	
10949	Guaja	CRY	jaʔo	jaʔo	j a ʔ o	- j a ʔ o - -	578	4035	CRY	chorar1	
11321	Emerillon_Teko	CRY	dʒaʔo	dʒaʔo	dʒ a ʔ o	- dʒ a ʔ o - -	578	4035	CRY	chorar1	
11710	Wayampi	CRY	jao	jao	j ao	- j ao - - - -	578	4035	CRY	chorar1	
12326	Ka_apor_Urubu	CRY	jiʃiʔu	jiʃiʔu	j i ʃ i ʔ u	- j i ʃ i ʔ u	578	4035	CRY	chorar1	
12618	Anambe	CRY	jo	jo	j o	- j o - - - -	578	4035	CRY	chorar1	
12908	Kamajura	CRY	jaeʔo	jaeʔo	j ae ʔ o	- j ae ʔ o - -	578	4035	CRY	chorar1	
13179	Asurini_do_Xingu	CRY	jaʔa	jaʔa	j a ʔ a	- j a ʔ a - -	578	4035	CRY	chorar1	
13437	Ava_Canoeiro	CRY	dʒaeo	dʒaeo	dʒ a eo	- dʒ a eo -	580	4036	CRY	chorar1	
13699	Tupinamba	CRY	jaseʔo	jaseʔo	j a s e ʔ o	- j a s e ʔ o	578	4035	CRY	chorar1	
14087	Nheengatu	CRY	jaʃiu	jaʃiu	j a ʃ iu	- j a ʃ iu - -	578	4035	CRY	chorar1	
14420	Lingua_Geral_Paulista_Tupi_austral	CRY	ʒasem	ʒasem	ʒ a s e m	- ʒ a s e m -	578	4035	CRY	chorar1	
14676	Yuki	CRY	jirase	jirase	j i r a s e	- j i r a s e	578	4035	CRY	chorar3	
14933	Guarayo	CRY	jaa	jaa	j aː	- j aː - - - -	578	4035	CRY	chorar1	
15251	Siriono	CRY	tʃeseo	tʃeseo	tʃ e s eo	- tʃ e s eo - -	578	4035	CRY	chorar1	
15555	Warazu_Pauserna	CRY	ðahéʔo	ðahéʔo	ð a h é/e ʔ o	- ð a h é/e ʔ o	578	4035	CRY	chorar1	
15807	Chiriguano	CRY	jaeo	jaeo	j a eo	- j a - eo - -	578	4035	CRY	chorar1	
16047	Jora	CRY	njáw	njáw	n j á/a w	n j á/a w - - -	578	4035	CRY	chorar	
16208	Mbya	CRY	dʒaeʔo	dʒaeʔo	dʒ ae ʔ o	- dʒ ae ʔ o - -	578	4035	CRY	chorar1	
16561	Guarani_Paraguay	CRY	jaheʔo	jaheʔo	j a h e ʔ o	- j a h e ʔ o	578	4035	CRY	chorar1	
16902	Old_Guarani	CRY	jetseo	jetseo	j e ts eo	- j e ts eo - -	578	4035	CRY	chorar1	
17208	Guayaki_Ache	CRY	itʃo	itʃo	i tʃ o	i tʃ o - -	578	4035	CRY	chorar1	
17446	Xeta	CRY	jetseo	jetseo	j e ts eo	- j e ts eo - -	578	4035	CRY	chorar1	
17669	Kaiowa	CRY	jaheʔo	jaheʔo	j a h e ʔ o	- j a h e ʔ o	578	4035	CRY	chorar1	
17910	Tapiete	CRY	jaheʔo	jaheʔo	j a h e ʔ o	- j a h e ʔ o	578	4035	CRY	chorar1	
18419	Omagua	CRY	jaʃú	jaʃú	j a ʃ ú	- j a ʃ ú - -	578	4035	CRY	chorar1	
18702	Cocama_Cocamilla	CRY	jatʃu	jatʃu	j a tʃ u	- j a tʃ u - -	578	4035	CRY	chorar1	
19991	Guayaki_Ache	CRY	tʃigã	tʃigã	tʃ i g ã	tʃ i g ã			CRY		
20407	Kepkiriwat	CRY	wak	wak	w a k	w a k	579	4034	CRY		
20831	Zo_e	CRY	jiaʔá	jiaʔá	j ia ʔ á	j ia ʔ á	578	4035	CRY		
79	Karo_Arara	GNAT / PIUM	inãw	inãw	i n ã w	- i n ã w	1024	7255	GNAT	mutum	
424	Purubora	GNAT / PIUM	βitap	βitap	β i t a p	β i t - a p -	1021	7252	GNAT	mutum1	
645	Ntogapid_Itogapuk	GNAT / PIUM	inãu	inãu	i n ãu	- i n ãu -	1024	7255	GNAT	mutum	
880	Makurap	GNAT / PIUM	mĩtõ	mĩtõ	m ĩ t õ	m ĩ t - õ - -	1021	7252	GNAT	mutum1	
1229	Wayoro	GNAT / PIUM	kɨiŋ / manain	kɨiŋ	k ɨi ŋ	- - k ɨi ŋ	1024	7255	GNAT	mutum	
1230	Wayoro	GNAT / PIUM	kɨiŋ / manain	manain	m a n ai n	m a n ai n	1024	7255	GNAT	mutum	
1564	Tupari	GNAT / PIUM	koraʔɨ	koraʔɨ	k o r a ʔ ɨ	k o r a - - ʔ ɨ	1023	7251	GNAT	mutum5	
1950	Akuntsu	GNAT / PIUM	porakɨ	porakɨ	p o r a k ɨ	p o r a k - - ɨ	1023	7251	GNAT	mutum5	
2319	Mekens_Sakurabiat	GNAT / PIUM	porakɨ	porakɨ	p o r a k ɨ	p o r a k - - ɨ	1023	7251	GNAT	mutum5	
2592	Cinta_Larga	GNAT / PIUM	wakój	wakój	w a k ó/o j	w a k ó/o j	1022	7253	GNAT	mutum3	
2792	Gaviao_Ikoloehj	GNAT / PIUM	βakooj	βakooj	β a k oː j	β a k oː j	1022	7253	GNAT	mutum3	
3178	Monde	GNAT / PIUM	βakoj	βakoj	β a k o j	β a k o j	1022	7253	GNAT	mutum3	
3439	Arua	GNAT / PIUM	βakoj	βakoj	β a k o j	β a k o j	1022	7253	GNAT	mutum3	
3753	Zoro	GNAT / PIUM	βakooj	βakooj	β a k oː j	β a k oː j	1022	7253	GNAT	mutum3	
3964	Surui_Paiter	GNAT / PIUM	wakoj	wakoj	w a k o j	w a k o j	1022	7253	GNAT	mutum3	
4286	Karitiana	GNAT / PIUM	misɨ̃	misɨ̃	m i s ɨ̃	m i s - ɨ̃ - -	1021	7252	GNAT	mutum1	
4536	Arikem	GNAT / PIUM	misjũ / mitvũ	misjũ	m i s j ũ	m i s j ũ	1021	7252	GNAT	mutum1	
4537	Arikem	GNAT / PIUM	misjũ / mitvũ	mitvũ	m i t v ũ	m i t v ũ - -	1021	7252	GNAT	mutum1	
4757	Xipaya	GNAT / PIUM	takũ	takũ	t a k ũ	t a k ũ	1025	7254	GNAT	mutum4	
5090	Juruna_Yudja	GNAT / PIUM	takũ	takũ	t a k ũ	t a k ũ	1025	7254	GNAT	mutum4	
5438	Munduruku	GNAT / PIUM	witṍ	witṍ	w i t ṍ/õ	w i t - ṍ/õ - -	1021	7252	GNAT	mutum1	
5802	Kuruaya	GNAT / PIUM	wítõ	wítõ	w í/i t õ	w í/i t - õ - -	1021	7252	GNAT	mutum1	
6117	Satere_Mawe	GNAT / PIUM	urukuʔa	urukuʔa	u r u k u ʔ a	- u r u k u ʔ a	1023	7251	GNAT	mutum	
6470	Aweti	GNAT / PIUM	mɨ̃tu	mɨ̃tu	m ɨ̃ t u	m ɨ̃ t - u - -	1021	7252	GNAT	mutum1	
6785	Parakana	GNAT / PIUM	mɨto	mɨto	m ɨ t o	m ɨ t - o - -	1021	7252	GNAT	mutum1	
7364	Surui_Aikewara	GNAT / PIUM	mɨtu	mɨtu	m ɨ t u	m ɨ t - u - -	1021	7252	GNAT	mutum1	
7971	Tembe	GNAT / PIUM	mɨtu	mɨtu	m ɨ t u	m ɨ t - u - -	1021	7252	GNAT	mutum1	
8302	Guajajara	GNAT / PIUM	mɨtu	mɨtu	m ɨ t u	m ɨ t - u - -	1021	7252	GNAT	mutum1	
8625	Apiaka	GNAT / PIUM	mutũ	mutũ	m u t ũ	m u t - ũ - -	1021	7252	GNAT	mutum1	
8895	Parintintin	GNAT / PIUM	mɨ̃tu	mɨ̃tu	m ɨ̃ t u	m ɨ̃ t - u - -	1021	7252	GNAT	mutum1	
9234	Amondawa	GNAT / PIUM	mɨ̃tu	mɨ̃tu	m ɨ̃ t u	m ɨ̃ t - u - -	1021	7252	GNAT	mutum1	
9549	Tenharim	GNAT / PIUM	mɨ̃tu	mɨ̃tu	m ɨ̃ t u	m ɨ̃ t - u - -	1021	7252	GNAT	mutum1	
9998	Urueuwauwau	GNAT / PIUM	mɨ̃tu	mɨ̃tu	m ɨ̃ t u	m ɨ̃ t - u - -	1021	7252	GNAT	mutum1	
10223	Tupi_do_Machado_Wirafed	GNAT / PIUM	mɨtú	mɨtú	m ɨ t ú/u	m ɨ t - ú/u - -	1021	7252	GNAT	mutum1	
10346	Kayabi	GNAT / PIUM	mɨ̃tu	mɨ̃tu	m ɨ̃ t u	m ɨ̃ t - u - -	1021	7252	GNAT	mutum1	
10594	Arawete	GNAT / PIUM	mɨtũ	mɨtũ	m ɨ t ũ	m ɨ t - ũ - -	1021	7252	GNAT	mutum1	
10845	Anambe_of_Ehrenreich	GNAT / PIUM	mutun	mutun	m u t u n	m u t - u n -	1021	7252	GNAT	mutum1	
10950	Guaja	GNAT / PIUM	mitõ	mitõ	m i t õ	m i t - õ - -	1021	7252	GNAT	mutum1	
11322	Emerillon_Teko	GNAT / PIUM	mutu	mutu	m u t u	m u t - u - -	1021	7252	GNAT	mutum1	
11711	Wayampi	GNAT / PIUM	mɨtũ	mɨtũ	m ɨ t ũ	m ɨ t - ũ - -	1021	7252	GNAT	mutum1	
12065	Zo_e	GNAT / PIUM	mɨtũ	mɨtũ	m ɨ t ũ	m ɨ t - ũ - -	1021	7252	GNAT	mutum1	
12327	Ka_apor_Urubu	GNAT / PIUM	mɨtun	mɨtun	m ɨ t u n	m ɨ t - u n -	1021	7252	GNAT	mutum1	
12909	Kamajura	GNAT / PIUM	mɨtũ	mɨtũ	m ɨ t ũ	m ɨ t - ũ - -	1021	7252	GNAT	mutum1	
13180	Asurini_do_Xingu	GNAT / PIUM	mɨtũ	mɨtũ	m ɨ t ũ	m ɨ t - ũ - -	1021	7252	GNAT	mutum1	
13700	Tupinamba	GNAT / PIUM	mutũ	mutũ	m u t ũ	m u t - ũ - -	1021	7252	GNAT	mutum1	
14088	Nheengatu	GNAT / PIUM	mitu	mitu	m i t u	m i t - u - -	1021	7252	GNAT	mutum1	
14934	Guarayo	GNAT / PIUM	mɨtũ	mɨtũ	m ɨ t ũ	m ɨ t - ũ - -	1021	7252	GNAT	mutum1	
15252	Siriono	GNAT / PIUM	mbito	mbito	mb/ⁿb i t o	mb/ⁿb i t - o - -	1021	7252	GNAT	mutum	
19273	Karitiana	GNAT / PIUM	kɨrɨk	kɨrɨk	k ɨ r ɨ k	k ɨ r ɨ k	1570	177	GNAT		
19372	Asurini_do_Tocantins	GNAT / PIUM	merow	merow	m e r o w	m e r o w	1021	7252	GNAT		
80	Karo_Arara	CUT	piʔʃãp	piʔʃãp	p i ʔ ʃ ã p	p i ʔ ʃ ã p	587	4097	CUT	cortar	
881	Makurap	CUT	ndeŋa	ndeŋa	nd/ⁿd e ŋ a	nd/ⁿd e ŋ - - a	583	4095	CUT	cortar	
1231	Wayoro	CUT	pang / mborekʷa	pang	p a n g	p a n - g -	584	4096	CUT	cortar	
1232	Wayoro	CUT	pang / mborekʷa	mborekʷa	mb/ⁿb o r e kʷ a	mb/ⁿb o r e kʷ a	583	4095	CUT	cortar	
1565	Tupari	CUT	pore	pore	p o r e	p o r - - e	583	4095	CUT	cortar	
1951	Akuntsu	CUT	korom / tʃere_ka	korom	k o r o m	- k o r - o m - - -	582	4093	CUT	cortar	
1952	Akuntsu	CUT	korom / tʃere_ka	tʃere_ka	tʃ e r e + k a	- tʃ e r - e + k a -	582	4095 4093	_cut CUT	cortar	
2320	Mekens_Sakurabiat	CUT	sereka	sereka	s e r e k a	s e r e k a	583	4095	CUT	cortar	
2793	Gaviao_Ikoloehj	CUT	kutpireá / sal / kátaà	kutpireá	k u t p i r eá	- k u t p i r - eá -	582	4093	CUT	cortar	
2794	Gaviao_Ikoloehj	CUT	kutpireá / sal / kátaà	sal	s a l	s a l	589	4100	CUT	cortar	
2795	Gaviao_Ikoloehj	CUT	kutpireá / sal / kátaà	kátaà	k á t a à	k á t a à	582	4093	CUT	cortar	
3179	Monde	CUT	kata_ja	kata_ja	k a t a + j a	- k a t - a + j a -	582	4093 4094	CUT _cut	cortar	
3440	Arua	CUT	kata	kata	k a t a	- k a t - a - - - -	582	4093	CUT	cortar	
3965	Surui_Paiter	CUT	hema	hema	h e m a	h e m a	588	4099	CUT	cortar	
4538	Arikem	CUT	jakeno	jakeno	j a k e n o	j a k e n o	585	4094	CUT	cortar	
4758	Xipaya	CUT	akɨrɨ	akɨrɨ	a k ɨ r ɨ	a k ɨ r - ɨ - - - -	582	4093	CUT	cortar	
5091	Juruna_Yudja	CUT	akɨrɨ	akɨrɨ	a k ɨ r ɨ	a k ɨ r - ɨ - - - -	582	4093	CUT	cortar	
5439	Munduruku	CUT	takat / kaka	takat	t a k a t	- t a - - - - k a t	582	4093	CUT	cortar	
5440	Munduruku	CUT	takat / kaka	kaka	k a k a	- k a - - - - k a -	582	4093	CUT	cortar	
5803	Kuruaya	CUT	tab / kaka	tab	t a b	- - - - t a b	586	4098	CUT	cortar	
5804	Kuruaya	CUT	tab / kaka	kaka	k a k a	- k a - - - - k a -	582	4093	CUT	cortar	
6118	Satere_Mawe	CUT	atiʔtek	atiʔtek	a t i ʔ t e k	a t i ʔ t e k	586	4098	CUT	cortar1	
6471	Aweti	CUT	akɨtse	akɨtse	a k ɨ ts e	a k ɨ ts - e - - - -	582	4093	CUT	cortar1	
6786	Parakana	CUT	kɨtʃi	kɨtʃi	k ɨ tʃ i	- k ɨ tʃ - i - - - -	582	4093	CUT	cortar1	
7106	Asurini_do_Tocantins	CUT	kɨsi	kɨsi	k ɨ s i	- k ɨ s - i - - - -	582	4093	CUT	cortar1	
7365	Surui_Aikewara	CUT	kiti	kiti	k i t i	- k i t - i - - - -	582	4093	CUT	cortar	
7684	Tapirape_Apyawa	CUT	kɨtʃi	kɨtʃi	k ɨ tʃ i	- k ɨ tʃ - i - - - -	582	4093	CUT	cortar1	
7972	Tembe	CUT	kɨtɨ	kɨtɨ	k ɨ t ɨ	- k ɨ t - ɨ - - - -	582	4093	CUT	cortar1	
8303	Guajajara	CUT	kiʃi	kiʃi	k i ʃ i	- k i ʃ - i - - - -	582	4093	CUT	cortar1	
8626	Apiaka	CUT	kɨsɨ	kɨsɨ	k ɨ s ɨ	- k ɨ s - ɨ - - - -	582	4093	CUT	cortar1	
8896	Parintintin	CUT	kɨtʃɨ	kɨtʃɨ	k ɨ tʃ ɨ	- k ɨ tʃ - ɨ - - - -	582	4093	CUT	cortar1	
