Language	Concept	Form	Tokens	SimpleCognate	PartialCognate	Morphemes	Notes
Kaiowa	DRINK (v)	ʔu	ʔ u	699.0	4884 4886	_LIQUID INGEST	
Tapiete	DRINK (v)	ʔu	ʔ u	699.0	4884	INGEST	
Omagua	DRINK (v)	kurata	k u r a t a	703.0	4887	DRINK	
Cocama_Cocamilla	DRINK (v)	kurata	k u r a t a	703.0	4887	DRINK	
Karitiana	DRINK (v)	ʔɨ	ʔ ɨ	699.0	4884	DRINK	
Karitiana	DRINK (v)	ahɨ	a h ɨ	699.0	4884	DRINK	
Karo_Arara	DRY	aʔtsaraŋnãn	a ʔ ts a r a ŋ n ã n	713.0	4957	DRY	
Purubora	DRY	kĩrĩk	k ĩ r ĩ k	708.0	4952	DRY	
Makurap	DRY	mãrãk	m ã r ã k	708.0	4952	DRY	
Wayoro	DRY	epaβaka	e p a β a k a	706.0	4950	DRY	
Tupari	DRY	ketʔe	k e t ʔ e	714.0	4958	DRY	
Akuntsu	DRY	akop_ka	a k o p + k a	706.0	4950 4951	DRY _dry	
Mekens_Sakurabiat	DRY	paba	p a b a	709.0	4955	DRY	
Mekens_Sakurabiat	DRY	paaga	p aː g a	706.0	4950	DRY	
Gaviao_Ikoloehj	DRY	kagaa	k a g aː	706.0	4950	DRY	
Monde	DRY	akãgã	a k ã g ã	706.0	4950	DRY	
Arua	DRY	kãgãã	k ã g ãː	706.0	4950	DRY	
Zoro	DRY	kãgãã	k ã g ãː	706.0	4950	DRY	
Surui_Paiter	DRY	kagãã	k a g ãː	706.0	4950	DRY	
Karitiana	DRY	pihop	p i h o p	709.0	4955	DRY	
Arikem	DRY	mãrãk	m ã r ã k	708.0	4952	DRY	
Xipaya	DRY	kɨrɨtu	k ɨ r ɨ t u	711.0	4956	DRY	
Juruna_Yudja	DRY	tʃuratʃu	tʃ u r a tʃ u	711.0	4956	DRY	
Juruna_Yudja	DRY	huaku	h ua k u	706.0	4950	DRY	
Munduruku	DRY	məpərək	m ə + p ə r ə k	708.0	4952	CAUSATIVE DRY	
Kuruaya	DRY	pɨrɨk	p ɨ r ɨ k	708.0	4952	DRY	
Satere_Mawe	DRY	ŋaŋ	ŋ a ŋ	707.0	4953	DRY	
Aweti	DRY	mo-kaŋa	m o + k a ŋ a	706.0	4954 4950	_CAUSATIVE DRY	
Parakana	DRY	motoβɨm	m o + t o β ɨ m	707.0	4953	_CAUSATIVE DRY	
Surui_Aikewara	DRY	hɨw	h ɨ w	709.0	4955	DRY	
Tapirape_Apyawa	DRY	ma-kɨŋ	m a + k ɨ ŋ	706.0	4954 4950	_CAUSATIVE DRY	
Tembe	DRY	tʃiniŋ	tʃ i n i ŋ	707.0	4953	DRY	
Guajajara	DRY	tʃinig	tʃ i n i g	707.0	4953	DRY	
Apiaka	DRY	tɨwɨn	t ɨ w ɨ n	707.0	4953	DRY	
Parintintin	DRY	tiniŋ	t i n i ŋ	707.0	4953	DRY	
Amondawa	DRY	gʷaɨtɨrɨg	gʷ aɨ t ɨ r ɨ g	708.0	4952	DRY	
Tenharim	DRY	tiniŋ	t i n i ŋ	707.0	4953	DRY	
Urueuwauwau	DRY	tiniŋ	t i n i ŋ	707.0	4953	DRY	
Kayabi	DRY	mosiniŋ	m o + s i n i ŋ	707.0	4953	_CAUSATIVE DRY	
Guaja	DRY	tʃinĩ	tʃ i n ĩ	707.0	4953	DRY	
Emerillon_Teko	DRY	sikaŋ	s i k a ŋ	706.0	4950	DRY	
Wayampi	DRY	mosikã	m o + s i k ã	706.0	4950	_CAUSATIVE DRY	
Zo_e	DRY	monitʃiaŋ	m o + n i tʃ ia ŋ	707.0	4953	_CAUSATIVE DRY	
Zo_e	DRY	sitʃã	s i tʃ ã	706.0	4950	DRY	
Ka_apor_Urubu	DRY	muʃinkã	m u + ʃ i n k ã	706.0	4950	_CAUSATIVE DRY	
Kamajura	DRY	mopiru	m o + p i r u	708.0	4952	CAUSATIVE DRY	
Ava_Canoeiro	DRY	tiniŋ	t i n i ŋ	707.0	4953	DRY	
Tupinamba	DRY	motiniŋ	m o + t i n i ŋ	707.0	4953	_CAUSATIVE DRY	
Nheengatu	DRY	tini	t i n i	707.0	4953	DRY	
Lingua_Geral_Paulista_Tupi_austral	DRY	tiniŋ	t i n i ŋ	707.0	4953	DRY	
Yuki	DRY	betuba	b e t u b a	709.0	4955	DRY	
Guarayo	DRY	piru	p i r u	708.0	4952	DRY	
Siriono	DRY	mbɨɨru	mb/ⁿb ɨː r u	708.0	4952	DRY	
Warazu_Pauserna	DRY	mopɨru	m o + p ɨ r u	708.0	4952	_CAUSATIVE DRY	
Chiriguano	DRY	mutĩni	m u + t ĩ n i	707.0	201 4593	_CAUSATIVE DRY	
Mbya	DRY	mombiru	m o + mb/ⁿb i r u	708.0	201 4952	_CAUSATIVE DRY	
Guarani_Paraguay	DRY	mbohɨpa	mb/ⁿb o + h ɨ p a	709.0	201 202	CAUSATIVE _DRY	
Old_Guarani	DRY	mombiru	m o + mb/ⁿb i r u	708.0	201 4952	_CAUSATIVE DRY	
Guayaki_Ache	DRY	dʒɨpi	dʒ ɨ p i	707.0	4953	DRY	
Kaiowa	DRY	hɨpa	h ɨ p a	709.0	4955	DRY	
Tapiete	DRY	tini	t i n i	707.0	4953	DRY	
Tapiete	DRY	seka	s e k a	706.0	4950	DRY	
Omagua	DRY	ikianata	i k ia n a t a	706.0	4950	DRY	
Cocama_Cocamilla	DRY	kɨpatsa	k ɨ p a ts a	706.0	4950	DRY	
Omagua	DRY	tɨpa	t ɨ p a			DRY	
Karo_Arara	DRY (state)	ʃãrãɲ	ʃ ã r ã ɲ	716.0	5012	DRY	
Purubora	DRY (state)	wit	w i t	719.0	5016	DRY	
Makurap	DRY (state)	wok	w o k	716.0	5014	DRY	
Wayoro	DRY (state)	paβa	p a β a	715.0	5012	DRY	
Tupari	DRY (state)	kete	k e t e	716.0	5014	DRY	
Akuntsu	DRY (state)	bago	b a g o	715.0	5012	DRY	
Gaviao_Ikoloehj	DRY (state)	káĩ	k áĩ/aĩ	716.0	5014	DRY	
Surui_Paiter	DRY (state)	põr	p õ r	715.0	5012	DRY	
Karitiana	DRY (state)	pipaseep	p i p a s eː p	715.0	5012	DRY	
Xipaya	DRY (state)	base	b a s e	715.0	5012	DRY	
Xipaya	DRY (state)	iɲã	i ɲ ã	716.0	5014	DRY	
Juruna_Yudja	DRY (state)	tʃuratʃu	tʃ u r a tʃ u	718.0	5015	DRY	
Munduruku	DRY (state)	karaw	k a r a w	715.0	5012	DRY	
Munduruku	DRY (state)	pərə́k	p ə r ə́/ə k	715.0	5012	DRY	
Kuruaya	DRY (state)	pɨrɨk	p ɨ r ɨ k	715.0	5012	DRY	
Satere_Mawe	DRY (state)	ŋaŋ	ŋ a ŋ	716.0	5014	DRY	
Parakana	DRY (state)	apin	a p i n	717.0	5013	DRY	
Asurini_do_Tocantins	DRY (state)	owɨn	o w ɨ n	717.0	5013	DRY	
Surui_Aikewara	DRY (state)	ɨpaw	ɨ p a w	717.0	5013	DRY	
Tapirape_Apyawa	DRY (state)	piro	p i r o	715.0	5012	DRY	
Tembe	DRY (state)	kaŋ	k a ŋ	716.0	5014	DRY	
Guajajara	DRY (state)	kəg	k ə g	716.0	5014	DRY	
Apiaka	DRY (state)	imbu	i mb/ⁿb u	717.0	5013	DRY	
Parintintin	DRY (state)	iβiahi	i β ia h i	715.0	5012	DRY	
Amondawa	DRY (state)	tɨpa	t ɨ p a	717.0	5013	DRY	
Tenharim	DRY (state)	tɨpa	t ɨ p a	717.0	5013	DRY	
Jiahoi	DRY (state)	tɨpa	t ɨ p a	717.0	5013	DRY	
Urueuwauwau	DRY (state)	iβirahĩ	i β i r a h ĩ	715.0	5012	DRY	
Kayabi	DRY (state)	kaŋ	k a ŋ	716.0	5014	DRY	
Arawete	DRY (state)	kaʔẽ	k a ʔ ẽ	716.0	5014	DRY	
Guaja	DRY (state)	kɨ̃	k ɨ̃	716.0	5014	DRY	
Emerillon_Teko	DRY (state)	karag	k a r a g	716.0	5012	DRY	
Wayampi	DRY (state)	sikã	s i k ã	716.0	5014	DRY	
Ka_apor_Urubu	DRY (state)	kã	k ã	716.0	5014	DRY	
Anambe	DRY (state)	tɨkɨ̃	t ɨ k ɨ̃	717.0	5013	DRY	
Kamajura	DRY (state)	pikaŋ	p i k a ŋ	716.0	5014	DRY	
Ava_Canoeiro	DRY (state)	tɨpɨw	t ɨ p ɨ w	717.0	5013	DRY	
Tupinamba	DRY (state)	kaŋ	k a ŋ	716.0	5014	DRY	
Nheengatu	DRY (state)	tikaŋa	t i k a ŋ a	716.0	5014	DRY	
Lingua_Geral_Paulista_Tupi_austral	DRY (state)	piri	p i r i	715.0	5012	DRY	
Yuki	DRY (state)	iru	i r u	715.0	5012	DRY	
Guarayo	DRY (state)	piru	p i r u	715.0	5012	DRY	
Siriono	DRY (state)	ɨru	ɨ r u	715.0	5012	DRY	
Warazu_Pauserna	DRY (state)	pɨru	p ɨ r u	715.0	5012	DRY	
Chiriguano	DRY (state)	tĩni	t ĩ n i	717.0	5013	DRY	
Jora	DRY (state)	diahá	d ia h á/a	716.0	5014	DRY	
Mbya	DRY (state)	piru	p i r u	715.0	5012	DRY	
Guarani_Paraguay	DRY (state)	ikã	i k ã	716.0	5014	DRY	
Old_Guarani	DRY (state)	kaŋ	k a ŋ	716.0	5014	DRY	
Guayaki_Ache	DRY (state)	tʃakã	tʃ a k ã	716.0	5014	DRY	
Tapiete	DRY (state)	tini	t i n i	717.0	5013	DRY	
Omagua	DRY (state)	ikiana	i k ia n a	716.0	5014	DRY	
Cocama_Cocamilla	DRY (state)	ikana	i k a n a	716.0	5014	DRY	
Karo_Arara	EARTH / LAND	ɨgana	ɨ g a n a	730.0	5134	EARTH	
Purubora	EARTH / LAND	ɨj	ɨ j	729.0	5131	EARTH	
Ntogapid_Itogapuk	EARTH / LAND	igana	i g a n a	730.0	5134	EARTH	
Ntogapid_Itogapuk	EARTH / LAND	ɨja	ɨ j a	729.0	5131	EARTH	
Ramarama	EARTH / LAND	ehigənẽ	e h i g ə n ẽ	730.0	5134	EARTH	
Makurap	EARTH / LAND	kɨj	k ɨ j	729.0	5131	EARTH	
Wayoro	EARTH / LAND	kɨj	k ɨi	729.0	5131	EARTH	
Tupari	EARTH / LAND	kuj	k ui	729.0	5131	EARTH	
Akuntsu	EARTH / LAND	kɨj	k ɨi	729.0	5131	EARTH	
Akuntsu	EARTH / LAND	kɨbakãj	k ɨ b a k ãi	729.0	5131	EARTH	
Mekens_Sakurabiat	EARTH / LAND	kɨmakɨ̃j	k ɨ m a k ɨ̃ j	729.0	5131	EARTH	
Cinta_Larga	EARTH / LAND	ŋgûj	ŋg ûi	729.0	5131	EARTH	
Gaviao_Ikoloehj	EARTH / LAND	gój	g ói	729.0	5131	EARTH	
Arua	EARTH / LAND	ɲẽẽj	ɲ ẽː j	729.0	5131	EARTH	
Zoro	EARTH / LAND	gũj	g ũ j	729.0	5131	EARTH	
Surui_Paiter	EARTH / LAND	gõhi	g õ h i	729.0	5131	EARTH	
Karitiana	EARTH / LAND	ejepi	e j e p i	728.0	5132	EARTH	
Arikem	EARTH / LAND	eja	e j a	729.0	5131	EARTH	
Xipaya	EARTH / LAND	ipɨa	i p ɨa	728.0	5132	EARTH	
Juruna_Yudja	EARTH / LAND	epɨá	e p ɨá/ɨa	728.0	5132	EARTH	
Munduruku	EARTH / LAND	pi	p i	728.0	5132	EARTH	
Kuruaya	EARTH / LAND	ipi	i p i	728.0	5132	EARTH	
Satere_Mawe	EARTH / LAND	ɨi	ɨi	732.0	5135	EARTH	
Aweti	EARTH / LAND	ɨβete	ɨ β e t e	728.0	5132	EARTH	
Parakana	EARTH / LAND	ɨβɨ	ɨ β ɨ	728.0	5132	EARTH	
Asurini_do_Tocantins	EARTH / LAND	ʔɨwɨ	ʔ ɨ w ɨ	728.0	5132	EARTH	
Surui_Aikewara	EARTH / LAND	ɨwɨ	ɨ w ɨ	728.0	5132	EARTH	
Tapirape_Apyawa	EARTH / LAND	ɨwɨ	ɨ w ɨ	728.0	5132	EARTH	
Tembe	EARTH / LAND	ɨwɨ	ɨ w ɨ	728.0	5132	EARTH	
Guajajara	EARTH / LAND	ɨwɨ	ɨ w ɨ	728.0	5132	EARTH	
Apiaka	EARTH / LAND	ɨwɨ	ɨ w ɨ	728.0	5132	EARTH	
Parintintin	EARTH / LAND	ɨβɨ	ɨ β ɨ	728.0	5132	EARTH	
Amondawa	EARTH / LAND	ɨβɨ	ɨ β ɨ	728.0	5132	EARTH	
Tenharim	EARTH / LAND	ɨβɨ	ɨ β ɨ	728.0	5132	EARTH	
Urueuwauwau	EARTH / LAND	ɨβɨ	ɨ β ɨ	728.0	5132	EARTH	
Tupi_do_Machado_Wirafed	EARTH / LAND	hɨbɨ	h ɨ b ɨ	728.0	5132	EARTH	
Kayabi	EARTH / LAND	ɨwɨ	ɨ w ɨ	728.0	5132	EARTH	
Arawete	EARTH / LAND	iwi	i w i	728.0	5132	EARTH	
Anambe_of_Ehrenreich	EARTH / LAND	iwiti	i w i t i	728.0	5132	EARTH	
Guaja	EARTH / LAND	wɨ	w ɨ	728.0	5132	EARTH	
Amanaye	EARTH / LAND	ɨwɨ	ɨ w ɨ	728.0	5132	EARTH	
Emerillon_Teko	EARTH / LAND	ɨwɨ	ɨ w ɨ	728.0	5132	EARTH	
Wayampi	EARTH / LAND	ɨwɨ	ɨ w ɨ	728.0	5132	EARTH	
Ka_apor_Urubu	EARTH / LAND	ɨwɨ	ɨ w ɨ	728.0	5132	EARTH	
Anambe	EARTH / LAND	ɨwɨ	ɨ w ɨ	728.0	5132	EARTH	
Turiwara	EARTH / LAND	ɨwɨ	ɨ w ɨ	728.0	5132	EARTH	
Kamajura	EARTH / LAND	ɨwɨ	ɨ w ɨ	728.0	5132	EARTH	
Asurini_do_Xingu	EARTH / LAND	ɨwɨ	ɨ w ɨ	728.0	5132	EARTH	
Ava_Canoeiro	EARTH / LAND	ɨwɨ	ɨ w ɨ	728.0	5132	EARTH	
Tupinamba	EARTH / LAND	ɨbɨ	ɨ b ɨ	728.0	5132	EARTH	
Nheengatu	EARTH / LAND	ɨbɨ	ɨ b ɨ	728.0	5132	EARTH	
Lingua_Geral_Paulista_Tupi_austral	EARTH / LAND	uvu	u v u	728.0	5132	EARTH	
Yuki	EARTH / LAND	iβi	i β i	728.0	5132	EARTH	
Guarayo	EARTH / LAND	ɨβɨ	ɨ β ɨ	728.0	5132	EARTH	
Siriono	EARTH / LAND	iβi	i β i	728.0	5132	EARTH	
Warazu_Pauserna	EARTH / LAND	iwi	i w i	728.0	5132	EARTH	
Chiriguano	EARTH / LAND	ɨβɨ	ɨ β ɨ	728.0	5132	EARTH	
Mbya	EARTH / LAND	ɨβɨ	ɨ β ɨ	728.0	5132	EARTH	
Guarani_Paraguay	EARTH / LAND	ɨbɨ	ɨ b ɨ	728.0	5132	EARTH	
Old_Guarani	EARTH / LAND	ɨwɨ	ɨ w ɨ	728.0	5132	EARTH	
Guayaki_Ache	EARTH / LAND	ɨwɨ	ɨ w ɨ	728.0	5132	EARTH	
Xeta	EARTH / LAND	ewua	e w ua	728.0	5132	EARTH	
Kaiowa	EARTH / LAND	ɨwɨ	ɨ w ɨ	728.0	5132	EARTH	
Tapiete	EARTH / LAND	ɨwɨ	ɨ w ɨ	728.0	5132	EARTH	
Apapokuva_of_Nimuendaju	EARTH / LAND	ɨvɨ	ɨ v ɨ	728.0	5132	EARTH	
Omagua	EARTH / LAND	tujuka	t u j u k a	731.0	5133	EARTH	
Cocama_Cocamilla	EARTH / LAND	tujuka	t u j u k a	731.0	5133	EARTH	
Kampe	EARTH / LAND	kɨbakãj	k ɨ b a k ã j	729.0	5131	EARTH	
Matanau	EARTH / LAND	goin	g oi n	729.0	5131	EARTH	
Kabanae	EARTH / LAND	goin	g oi n	729.0	5131	EARTH	
Karo_Arara	EAR	opirisap	o p i r i s a p	1560.0	176	EAR	
Purubora	EAR	ʃapeto	ʃ a p e t o	720.0	5066	EAR	
Ntogapid_Itogapuk	EAR	nakiriβe	n a k i r i β e	720.0	5067	EAR	
Ramarama	EAR	nakirabe	n a k i r a b e	720.0	5067	EAR	
Makurap	EAR	apitʃep	a p i tʃ e p	720.0	5066	EAR	
Wayoro	EAR	apitep	a p i t e p	720.0	5066	EAR	
Tupari	EAR	apsiripʔa	a p s i r i p ʔ a	720.0	5066	EAR	
Akuntsu	EAR	apitep	a p i t e p	720.0	5066	EAR	
Mekens_Sakurabiat	EAR	apitep	a p i t e p	720.0	5066	EAR	
Cinta_Larga	EAR	nepiap	n e p ia p	720.0	5067	EAR	
Gaviao_Ikoloehj	EAR	nepiap	n e p ia p	720.0	5067	EAR	
Monde	EAR	nepiab	n e p ia b	720.0	5067	EAR	
Arua	EAR	nepiʔap	n e p i ʔ a p	720.0	5067	EAR	
Aruashi	EAR	jakɨb	j a k ɨ b	722.0	5069	EAR	
Matanau	EAR	ntébipé	n t é b i p é	720.0	5067	EAR	
Zoro	EAR	nepiap	n e p ia p	720.0	5067	EAR	
Surui_Paiter	EAR	nepibe	n e p i b e	720.0	5067	EAR	
Karitiana	EAR	opirisap	o p i r i s a p	1560.0	176	EAR	
Arikem	EAR	apitʃep	a p i tʃ e p	720.0	5066	EAR	
Xipaya	EAR	jãʃuka	j ã ʃ u k a	722.0	5069	EAR	
Munduruku	EAR	ŋəibə	ŋ əi b ə	720.0	5067	EAR	
Kuruaya	EAR	jaõpi	j aõ p i	720.0	5067	EAR	
Satere_Mawe	EAR	aihape	ai h a p e	720.0	5071 5067	_ear EAR	
Aweti	EAR	jãpi	j ã p i	720.0	5067	EAR	
Parakana	EAR	nami	n a m i	720.0	5067	EAR	
Surui_Aikewara	EAR	namia	n a m ia	720.0	5067	EAR	
Tapirape_Apyawa	EAR	nami	n a m i	720.0	5067	EAR	
Tembe	EAR	nami	n a m i	720.0	5067	EAR	
Guajajara	EAR	nami	n a m i	720.0	5067	EAR	
Apiaka	EAR	nambija	n a mb/ⁿb i j a	720.0	5067	EAR	
Parintintin	EAR	nambi	n a mb i	720.0	5067	EAR	
Juma	EAR	nãmi	n ã m i	720.0	5067	EAR	
Tupi_do_Machado_Wirafed	EAR	namí	n a m í/i	720.0	5067	EAR	
Arawete	EAR	amɨ	a m ɨ	720.0	5067	EAR	
Anambe_of_Ehrenreich	EAR	henambĩ	h e n a mb/ⁿb ĩ	720.0	5068 5067	_ear EAR	
Amanaye	EAR	nami	n a m i	720.0	5067	EAR	
Emerillon_Teko	EAR	nami	n a m i	720.0	5067	EAR	
Wayampi	EAR	apɨakʷa	a p ɨa kʷ a	720.0	5067 5073	EAR _ear	
Wayampi	EAR	nami	n a m i	720.0	5067	EAR	
Zo_e	EAR	nami	n a m i	720.0	5067	EAR	
Ka_apor_Urubu	EAR	inambi	i n a mb/ⁿb i	720.0	5071 5067	_ear EAR	
Anambe	EAR	namɨ	n a m ɨ	720.0	5067	EAR	
Kamajura	EAR	nami	n a m i	720.0	5067	EAR	
Tupinamba	EAR	nambi	n a mb/ⁿb i	720.0	5067	EAR	
Nheengatu	EAR	nambi	n a mb/ⁿb i	720.0	5067	EAR	
Lingua_Geral_Paulista_Tupi_austral	EAR	nambi	n a mb/ⁿb i	720.0	5067	EAR	
Yuki	EAR	isa	i s a	724.0	5072	EAR	
Guarayo	EAR	nambi	n a mb/ⁿb i	720.0	5067	EAR	
Siriono	EAR	eisa	ei s a	724.0	5072	EAR	
Chiriguano	EAR	nambi	n a mb/ⁿb i	720.0	5067	EAR	
Mbya	EAR	nambi	n a mb/ⁿb i	720.0	5067	EAR	
Guarani_Paraguay	EAR	nambi	n a mb/ⁿb i	720.0	5067	EAR	
Old_Guarani	EAR	nambi	n a mb/ⁿb i	720.0	5067	EAR	
Guayaki_Ache	EAR	nabi	n a b i	720.0	5067	EAR	
Xeta	EAR	nami	n a m i	720.0	5067	EAR	
Tapiete	EAR	tɨnambi	t ɨ n a mb/ⁿb i	720.0	5067	EAR	
Chiripa_Nandeva_Ava_Guarani	EAR	nambi	n a mb/ⁿb i	720.0	5067	EAR	
Omagua	EAR	nami	n a m i	720.0	5067	EAR	
Cocama_Cocamilla	EAR	nami	n a m i	720.0	5067	EAR	
Amondawa	EAR	nãbia	n ã b ia	720.0	5067	EAR	
Arikem	EAR	risaba	r i s a b a	1560.0	176	EAR	
Asurini_do_Tocantins	EAR	nami	n a m i	720.0	5067	EAR	
Kepkiriwat	EAR	apiá	a p iá			EAR	
Guaja	EAR	namĩa	n a m ĩa			EAR	
Karo_Arara	EAT (intr.)	nok	n o k	739.0	5205	EAT	
Makurap	EAT (intr.)	kãnãʔ	k ã n ã ʔ +	734.0	5199	EAT	
Wayoro	EAT (intr.)	ko	k o	734.0	5199	EAT	
Akuntsu	EAT (intr.)	ko	k o	734.0	5199	EAT	
Mekens_Sakurabiat	EAT (intr.)	kaa	k aː	734.0	5199	EAT	
Monde	EAT (intr.)	a	a	737.0	5202	EAT	
Karitiana	EAT (intr.)	pɨtʔɨ	p ɨ t + ʔ ɨ	735.0	151 5200	ASSERTIVE EAT	intr.
Xipaya	EAT (intr.)	etúku	e t ú/u k u	740.0	5204	EAT	
Juruna_Yudja	EAT (intr.)	etʃúkú	e tʃ ú/u k ú/u	740.0	5204	EAT	
Munduruku	EAT (intr.)	kõn	k õ n	734.0	5199	EAT	
Kuruaya	EAT (intr.)	kõn	k õ n	734.0	5199	EAT	
Aweti	EAT (intr.)	ʔu	ʔ u	735.0	5200	EAT	
Surui_Aikewara	EAT (intr.)	karu	k a r + u	734.0	5199 12	_THING -INGEST	
Tapirape_Apyawa	EAT (intr.)	kãro	k ã r + o	734.0	5199 12	_THING -INGEST	
Arawete	EAT (intr.)	karu	k a r + u	734.0	5199 12	_THING -INGEST	
Emerillon_Teko	EAT (intr.)	wa	w a	736.0	5201	EAT	
Wayampi	EAT (intr.)	u	u	737.0	5202	EAT	
Zo_e	EAT (intr.)	ʔu	ʔ u	735.0	5200	EAT	
Anambe	EAT (intr.)	karu	k a r + u	734.0	5199 12	_THING -INGEST	
Asurini_do_Xingu	EAT (intr.)	karo	k a r + o	734.0	5199 12	_THING -INGEST	
Tupinamba	EAT (intr.)	karu	k a r + u	734.0	5199 12	_THING -INGEST	
Siriono	EAT (intr.)	karu	k a r + u	734.0	5199 12	_THING -INGEST	
Mbya	EAT (intr.)	karu	k a r + u	734.0	5199 12	_THING -INGEST	
Guarani_Paraguay	EAT (intr.)	karu	k a r + u	734.0	5199 12	_THING -INGEST	
Old_Guarani	EAT (intr.)	karu	k a r + u	734.0	5199 12	_THING -INGEST	
Xeta	EAT (intr.)	karu	k a r + u	734.0	5199 12	_THING -INGEST	
Tapiete	EAT (intr.)	karu	k a r + u	734.0	5199 12	_THING -INGEST	
Cocama_Cocamilla	EAT (intr.)	eju	e j u	738.0	5203	EAT	
Nheengatu	EAT (intr.)	mbaú	mb a ú	1239.0	134 12	_THING -INGEST	
Arikem	EAT (intr.)	pudʒu	p u dʒ u	735.0	151 181 5200	ASSERTIVE EAT	
Asurini_do_Tocantins	EAT (intr.)	karó	k a r + ó	734.0	5199 12	_THING -INGEST	
Guaja	EAT (intr.)	ʔu	ʔ u	735.0	5200	EAT	
Gaviao_Ikoloehj	EAT (intr.)	neβa	n e + β a	736.0	597 5201	? INGEST	
Cinta_Larga	EAT (intr.)	wa	w a	736.0	5201	EAT	
Karo_Arara	EAT (tr.)	kam	k a m	734.0	5199	INGEST	
Purubora	EAT (tr.)	ʔo	ʔ o	735.0	5200	INGEST	
Ramarama	EAT (tr.)	doga	d o g a	739.0	5205	EAT	
Makurap	EAT (tr.)	oẽn	oẽ n	734.0	5199	INGEST	
Wayoro	EAT (tr.)	ko	k o	734.0	5199	EAT	
Tupari	EAT (tr.)	ka	k a	734.0	5199	EAT	
Tupari	EAT (tr.)	ko	k o	734.0	5199	EAT	
Tupari	EAT (tr.)	arop	a r o p	734.0	5199	EAT	
Akuntsu	EAT (tr.)	ko	k o	734.0	5199	EAT	
Mekens_Sakurabiat	EAT (tr.)	ko	k o	734.0	5199	INGEST	
Cinta_Larga	EAT (tr.)	va	v a	736.0	5201	EAT	
Gaviao_Ikoloehj	EAT (tr.)	βa	β a	736.0	5201	EAT	
Monde	EAT (tr.)	uít	uí t	741.0	5207	INGEST	
Arua	EAT (tr.)	βa	β a	736.0	5201	EAT	
Zoro	EAT (tr.)	βa	β a	736.0	5201	EAT	
Surui_Paiter	EAT (tr.)	iwa	i w a	736.0	5201	EAT	
Arikem	EAT (tr.)	kana	k a n a	734.0	5199	EAT	
Xipaya	EAT (tr.)	ʃu	ʃ u	735.0	5200	EAT	
Juruna_Yudja	EAT (tr.)	iʃú	i ʃ ú	735.0	5200	EAT	
Munduruku	EAT (tr.)	ʔóm	ʔ ó m	735.0	5200	INGEST	
Kuruaya	EAT (tr.)	ʔó	ʔ ó	735.0	5200	INGEST	
Satere_Mawe	EAT (tr.)	at-uʔu	a t + u ʔ u	735.0	5207 5200	? EAT	
Satere_Mawe	EAT (tr.)	nuk	n u k	739.0	5205	EAT	
Aweti	EAT (tr.)	ʔu	ʔ u	735.0	5200	EAT	
Parakana	EAT (tr.)	karo	k a r + o	734.0	5199 12	_THING -INGEST	
Parakana	EAT (tr.)	ʔo	ʔ o	735.0	5200	INGEST	
Asurini_do_Tocantins	EAT (tr.)	ʔo	ʔ o	735.0	5200	EAT	
Surui_Aikewara	EAT (tr.)	ʔu	ʔ u	735.0	5200	EAT	
Tapirape_Apyawa	EAT (tr.)	ʔo	ʔ o	735.0	5200	EAT	
Tembe	EAT (tr.)	ʔu	ʔ u	735.0	5200	EAT	
Guajajara	EAT (tr.)	ʔu	ʔ u	735.0	5200	EAT	
Apiaka	EAT (tr.)	ʔu	ʔ u	735.0	5200	EAT	
Amondawa	EAT (tr.)	ʔu	ʔ u	735.0	5200	EAT	
Tenharim	EAT (tr.)	ʔu	ʔ u	735.0	5200	EAT	
Juma	EAT (tr.)	ʔu	ʔ u	735.0	5200	EAT	
Urueuwauwau	EAT (tr.)	ʔu	ʔ u	735.0	5200	EAT	
Tupi_do_Machado_Wirafed	EAT (tr.)	u	u	737.0	5202	EAT	
Kayabi	EAT (tr.)	jemiʔwat	j e m i ʔ w a t	742.0	5206	INGEST	
Arawete	EAT (tr.)	ʔu	ʔ u	735.0	5200	EAT	
Anambe_of_Ehrenreich	EAT (tr.)	karu	k a r + u	734.0	5199 12	_THING -INGEST	
Emerillon_Teko	EAT (tr.)	ʔu	ʔ u	735.0	5200	EAT	
Wayampi	EAT (tr.)	ʔu	ʔ u	735.0	5200	EAT	
Ka_apor_Urubu	EAT (tr.)	ʔu	ʔ u	735.0	5200	EAT	
Anambe	EAT (tr.)	ʔu	ʔ u	735.0	5200	EAT	
Turiwara	EAT (tr.)	mbaeú	mb ae ú	735.0	633 5200	_THING -INGEST	
Kamajura	EAT (tr.)	karu	k a r + u	734.0	5199 12	_THING -INGEST	
Asurini_do_Xingu	EAT (tr.)	ʔu	ʔ u	735.0	5200	EAT	
Ava_Canoeiro	EAT (tr.)	u	u	737.0	5202	EAT	
Tupinamba	EAT (tr.)	uʔ	u ʔ	735.0	5200	EAT	
Nheengatu	EAT (tr.)	mbaú	mb a ú	737.0	633 5200	_THING -INGEST	
Lingua_Geral_Paulista_Tupi_austral	EAT (tr.)	karu	k a r + u	734.0	5199 12	_THING -INGEST	
Yuki	EAT (tr.)	kjaru	k j a r + u	734.0	5199 12	_THING -INGEST	
Guarayo	EAT (tr.)	karu	k a r + u	1622.0	203 216	_THING -INGEST	
Siriono	EAT (tr.)	ʃu	ʃ u	735.0	216	EAT	
